commit	sampler	target	steps	gpus	seed_block_0	seed_block_1	seed_block_2	fid_min	runtime_s	checkpoint	ref
d71176c	heun	uncond	18	8	1.9595	1.9996	2.0158	1.9595	1673.2	/data2/bochengli/github/improved-edm/assets/checkpoints/edm-cifar10-32x32-uncond-vp.pkl	/data2/bochengli/github/improved-edm/assets/fid_refs/cifar10-32x32.npz
d71176c	research	uncond	18	8	1.9714	2.0153	2.0282	1.9714	1673.9	/data2/bochengli/github/improved-edm/assets/checkpoints/edm-cifar10-32x32-uncond-vp.pkl	/data2/bochengli/github/improved-edm/assets/fid_refs/cifar10-32x32.npz
22ae9db	research	uncond	18	8	1.9713	2.0152	2.0284	1.9713	1677.7	/data2/bochengli/github/improved-edm/assets/checkpoints/edm-cifar10-32x32-uncond-vp.pkl	/data2/bochengli/github/improved-edm/assets/fid_refs/cifar10-32x32.npz
1212e39	research	uncond	18	8	1.9713	2.0151	2.0283	1.9713	1674.5	/data2/bochengli/github/improved-edm/assets/checkpoints/edm-cifar10-32x32-uncond-vp.pkl	/data2/bochengli/github/improved-edm/assets/fid_refs/cifar10-32x32.npz
592209c	research	uncond	18	8	1.9712	2.0151	2.0283	1.9712	1678.2	/data2/bochengli/github/improved-edm/assets/checkpoints/edm-cifar10-32x32-uncond-vp.pkl	/data2/bochengli/github/improved-edm/assets/fid_refs/cifar10-32x32.npz
0ee22e7	research	uncond	18	8	1.9708	2.0142	2.0283	1.9708	1674.7	/data2/bochengli/github/improved-edm/assets/checkpoints/edm-cifar10-32x32-uncond-vp.pkl	/data2/bochengli/github/improved-edm/assets/fid_refs/cifar10-32x32.npz
99f4caf	research	uncond	18	6	1.9706	2.0138	2.0284	1.9706	2572.6	/data2/bochengli/github/improved-edm/assets/checkpoints/edm-cifar10-32x32-uncond-vp.pkl	/data2/bochengli/github/improved-edm/assets/fid_refs/cifar10-32x32.npz
82b037a	research	uncond	18	7	1.9702	2.0135	2.0288	1.9702	1621.1	/data2/bochengli/github/improved-edm/assets/checkpoints/edm-cifar10-32x32-uncond-vp.pkl	/data2/bochengli/github/improved-edm/assets/fid_refs/cifar10-32x32.npz
fdfc1f9	research	uncond	18	7	1.9702	2.0135	2.0288	1.9702	1406.8	/data2/bochengli/github/improved-edm/assets/checkpoints/edm-cifar10-32x32-uncond-vp.pkl	/data2/bochengli/github/improved-edm/assets/fid_refs/cifar10-32x32.npz
0e19a76	research	uncond	18	7	1.9702	2.0135	2.0288	1.9702	2302.9	/data2/bochengli/github/improved-edm/assets/checkpoints/edm-cifar10-32x32-uncond-vp.pkl	/data2/bochengli/github/improved-edm/assets/fid_refs/cifar10-32x32.npz
996aa9f	research	uncond	18	7	1.9701	2.0135	2.0288	1.9701	1397.6	/data2/bochengli/github/improved-edm/assets/checkpoints/edm-cifar10-32x32-uncond-vp.pkl	/data2/bochengli/github/improved-edm/assets/fid_refs/cifar10-32x32.npz
4315b9e	research	uncond	18	4	1.9693	2.0114	2.0271	1.9693	2852.0	/data2/bochengli/github/improved-edm/assets/checkpoints/edm-cifar10-32x32-uncond-vp.pkl	/data2/bochengli/github/improved-edm/assets/fid_refs/cifar10-32x32.npz
cbfd11a	research	uncond	18	4	1.9668	2.0110	2.0200	1.9668	2645.0	/data2/bochengli/github/improved-edm/assets/checkpoints/edm-cifar10-32x32-uncond-vp.pkl	/data2/bochengli/github/improved-edm/assets/fid_refs/cifar10-32x32.npz
5953a6c	research	uncond	18	5	1.9667	2.0110	2.0201	1.9667	2014.0	/data2/bochengli/github/improved-edm/assets/checkpoints/edm-cifar10-32x32-uncond-vp.pkl	/data2/bochengli/github/improved-edm/assets/fid_refs/cifar10-32x32.npz
ecc8e2d	research	uncond	18	8	1.9659	2.0112	2.0210	1.9659	1550.0	/data2/bochengli/github/improved-edm/assets/checkpoints/edm-cifar10-32x32-uncond-vp.pkl	/data2/bochengli/github/improved-edm/assets/fid_refs/cifar10-32x32.npz
